"";"";"Onderwerp";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing";"2e plaatsing"
"";"";"Categorie";"L1.1 Salarissen en sociale lasten";"L2.1 Belastingen";"L3.1 Grond";"L3.2 Duurzame goederen";"L3.3 Pachten";"L3.4.1 Sociale uitkeringen in natura";"L3.5.1 Ingeleend personeel";"L3.8 Overige goederen en diensten";"L4.1.1 Sociale uitkeringen in geld";"L4.2 Subsidies";"L4.3.1 Inkomensoverdrachten - Rijk";"L4.3.2 Inkomensoverdrachten - gemeenten";"L4.3.3 Inkomensoverdrachten - gemeensc..";"L4.3.4 Inkomensoverdrachten - provincies";"L4.3.5 Inkomensoverdrachten - watersch..";"L4.3.6 Inkomensoverdrachten - ov overh..";"L4.3.7 Inkomensoverdrachten - Europese..";"L4.3.8 Inkomensoverdrachten - overige ..";"L4.3.9 Inkomensoverdrachten - onverdeeld";"L4.4.1 Kapitaaloverdrachten - Rijk";"L4.4.2 Kapitaaloverdrachten - gemeenten";"L4.4.3 Kapitaaloverdrachten - gemeensc..";"L4.4.4 Kapitaaloverdrachten - provincies";"L4.4.5 Kapitaaloverdrachten - watersch..";"L4.4.6 Kapitaaloverdrachten - ov overh..";"L4.4.7 Kapitaaloverdrachten - Europese..";"L4.4.8 Kapitaaloverdrachten - overige ..";"L4.4.9 Kapitaaloverdrachten - onverdeeld";"L5.1 Rente";"L6.1 Financiële transacties";"L7.1 Mutatie reserves";"L7.2 Mutatie voorzieningen";"L7.3 Afschrijvingen";"L7.4 Toegerekende reële en bespaarde r..";"L7.5 Overige verrekeningen"
"Gemeenten";"Verslagsoort";"Taakveld/balanspost";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Amstelveen";"Jaarrekening";"4.2 Onderwijshuisvesting";"223";"403";"0";"150";"0";"0";"21";"1522";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"576";"2045";"297";"101"
"Amstelveen";"Jaarrekening";"4.3 Onderwijsbeleid en leerlingzaken";"889";"0";"0";"0";"0";"874";"217";"598";"0";"1672";"0";"18";"0";"0";"0";"0";"0";"67";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-24"
"Amsterdam";"Begroting";"4.1 Openbaar basisonderwijs";"0";"0";"0";"0";"0";"0";"0";"3658";"0";"0";"0";"0";"0";"0";"0";"5208";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"11";"-160"
"Amsterdam";"Begroting";"4.2 Onderwijshuisvesting";"2267";"1729";"0";"0";"0";"0";"4000";"37733";"0";"0";"0";"0";"0";"0";"0";"4176";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"365";"49632";"13724";"0"
"Amsterdam";"Begroting";"4.3 Onderwijsbeleid en leerlingzaken";"18937";"0";"0";"0";"0";"5450";"453";"28713";"0";"0";"0";"1257";"0";"0";"0";"90628";"0";"120";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55";"14";"0"
"Amsterdam";"Jaarrekening";"4.1 Openbaar basisonderwijs";"132";"0";"0";"0";"0";"439";"137";"4019";"0";"0";"0";"0";"0";"0";"0";"4550";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"8";"0"
"Amsterdam";"Jaarrekening";"4.2 Onderwijshuisvesting";"5267";"1762";"0";"1378";"417";"0";"814";"28792";"0";"0";"0";"0";"0";"0";"0";"7819";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1190";"44517";"9037";"157"
"Amsterdam";"Jaarrekening";"4.3 Onderwijsbeleid en leerlingzaken";"22082";"0";"0";"0";"0";"14885";"1557";"20309";"0";"0";"0";"1221";"0";"0";"0";"88715";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55";"10";"292"
"Asten";"Begroting";"4.1 Openbaar basisonderwijs";"0";"0";"0";"0";"0";"0";"0";"41";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"93"
"Asten";"Begroting";"4.2 Onderwijshuisvesting";"16";"55";"0";"0";"0";"0";"0";"39";"0";"0";"0";"0";"0";"0";"0";"492";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"282";"0";"0"
"Asten";"Begroting";"4.3 Onderwijsbeleid en leerlingzaken";"123";"0";"0";"0";"0";"275";"8";"142";"0";"160";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"18";"0";"0"
"Asten";"Jaarrekening";"4.1 Openbaar basisonderwijs";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"93"
"Asten";"Jaarrekening";"4.2 Onderwijshuisvesting";"16";"43";"0";"0";"0";"0";"0";"42";"0";"0";"0";"0";"0";"0";"0";"447";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"249";"0";"0"
"Asten";"Jaarrekening";"4.3 Onderwijsbeleid en leerlingzaken";"69";"0";"0";"0";"0";"341";"62";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"195";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"18";"0";"0"
